Country Name,Country Code,Series Name,Series Code,Year,Value,indicator,Normalized Value,Weighted Score
Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1990,10.9422550918683,Sustainability,2.0341627048683256e-08,4.068325409736651e-09
Finland,FIN,Forest area (sq. km),AG.LND.FRST.K2,1990,218753.3,Sustainability,4.4217556925753255e-06,8.843511385150651e-07
Finland,FIN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,1990,0.852151683,Sustainability,2.0138599507404754e-08,4.027719901480951e-09
Finland,FIN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,9.48195008919212,Sustainability,2.0312243590239264e-08,4.062448718047853e-09
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,74.8131707317073,Quality of Life,2.1626802674352842e-08,4.325360534870569e-09
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,100.0,Quality of Life,2.2133598275124235e-08,4.426719655024847e-09
Finland,FIN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,1990,100.0,Quality of Life,2.2133598275124235e-08,4.426719655024847e-09
Finland,FIN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1990,3.04820271350203,Quality of Life,2.018278724495094e-08,4.036557448990188e-09
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1990,141438345513.917,Economic Development,0.07175529907164024,0.014351059814328049
Finland,FIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1990,3.069,Economic Development,0.050341009676343106,0.010068201935268622
Finland,FIN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1990,2782180611.33413,Economic Development,0.05076224212557876,0.010152448425115753
Finland,FIN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1990,62883602.14,Economic Development,0.05035053048616212,0.010070106097232426
Finland,FIN,Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,1990,62883602.14,Data-driven Decision Making,0.0005261078975548268,5.261078975548269e-05
Finland,FIN,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,1990,1.48029955030058,Safety and Security,1.2384743646063102e-11,1.2384743646063102e-12
Finland,FIN,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,1990,4.71172313914834,Safety and Security,3.9420050622677694e-11,3.94200506226777e-12
Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.40108767,Technological Integration,3.355650531365839e-12,3.3556505313658394e-13
Finland,FIN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,1990,0.40108767,Technological Integration,3.355650531365839e-12,3.3556505313658394e-13
Finland,FIN,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,1990,41.8166717774431,Technological Integration,3.498540278486442e-10,3.4985402784864426e-11
Finland,FIN,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,1990,41.8166717774431,Governance and Participation,3.461728221080393e-10,3.461728221080393e-11
Finland,FIN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,1990,41.8166717774431,Governance and Participation,3.461728221080393e-10,3.461728221080393e-11
Finland,FIN,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,1990,41.8166717774431,Governance and Participation,3.461728221080393e-10,3.461728221080393e-11
